"","atividade_indegree","atividade_outdegree","atividade_totaldegree","atividade_incloseness","atividade_outcloseness","atividade_totalcloseness","atividade_betweenness","atividade_eigenvector","atividade_reach_in_vec","atividade_reach_out_vec"
"60",6,2,8,0.000134661998384056,0.00118063754427391,0.00166666666666667,0.4,0.155,0.796791443850267,NA
"153",11,14,25,0.000134589502018843,0.00124688279301746,0.00171821305841924,43.3,0.21,0.796791443850267,NA
"8",6,2,8,0.000134734572891404,0.00117370892018779,0.00164473684210526,2.8,0.163,0.796791443850267,NA
"12",4,2,6,0.000134680134680135,0.00117370892018779,0.00163934426229508,2.2,0.128,0.796791443850267,NA
"18",6,2,8,0.000134734572891404,0.00117370892018779,0.00164473684210526,2.8,0.163,0.796791443850267,NA
"2",5,3,8,0.000134734572891404,0.00119047619047619,0.00166112956810631,1.2,0.151,0.796791443850267,NA
"3",4,1,5,0.000134680134680135,0.00117096018735363,0.00163934426229508,0,0.131,0.796791443850267,NA
"5",5,3,8,0.000134698275862069,0.00118063754427391,0.00164744645799012,2.7,0.141,0.796791443850267,NA
"15",6,1,7,0.000134734572891404,0.00117096018735363,0.00166112956810631,0.2,0.133,0.796791443850267,NA
"16",4,3,7,0.0001339405304045,0.00119047619047619,0.00166112956810631,1.2,0.092,0.796791443850267,NA
"17",3,2,5,0.000134661998384056,0.00118483412322275,0.0016366612111293,0.3,0.118,0.796791443850267,NA
"19",5,2,7,0.000134698275862069,0.00118483412322275,0.00164203612479475,1.7,0.141,0.796791443850267,NA
"27",5,3,8,0.000134698275862069,0.00118764845605701,0.00164473684210526,3.6,0.146,0.796791443850267,NA
"28",5,1,6,0.000134716421931833,0.00117096018735363,0.00165562913907285,0.2,0.131,0.796791443850267,NA
"32",6,1,7,0.000134716421931833,0.00117096018735363,0.00164473684210526,0,0.157,0.796791443850267,NA
"36",7,6,13,0.000134789055128724,0.00119904076738609,0.00166389351081531,9.5,0.17,0.796791443850267,NA
"39",6,2,8,0.000134661998384056,0.00117785630153121,0.00165837479270315,1,0.166,0.796791443850267,NA
"44",6,1,7,0.000134680134680135,0.00117096018735363,0.00167224080267559,0.2,0.145,0.796791443850267,NA
"49",8,1,9,0.000134716421931833,0.00117096018735363,0.00168918918918919,0.2,0.172,0.796791443850267,NA
"50",5,2,7,0.000134643866971859,0.00118483412322275,0.001669449081803,0.8,0.131,0.796791443850267,NA
"52",8,2,10,0.000134698275862069,0.00117233294255569,0.00165562913907285,66.9,0.165,0.796791443850267,NA
"58",6,1,7,0.000134643866971859,0.00117096018735363,0.00165562913907285,1.7,0.149,0.796791443850267,NA
"59",5,2,7,0.000134643866971859,0.00117508813160987,0.00165289256198347,4.2,0.128,0.796791443850267,NA
"63",5,1,6,0.000134643866971859,0.00117096018735363,0.00165562913907285,0,0.138,0.796791443850267,NA
"152",2,1,3,0.000134228187919463,0.00117096018735363,0.00158730158730159,0,0.06,0.796791443850267,NA
"171",29,1,30,0.000135153399107988,0.00117096018735363,0.00174520069808028,189.2,0.308,0.796791443850267,NA
"193",14,2,16,0.000134879956838414,0.00118483412322275,0.00169204737732657,388.8,0.151,0.796791443850267,NA
"20",5,1,6,0.000134643866971859,0.000965250965250965,0.00165016501650165,0.1,0.138,0.796791443850267,NA
"189",4,2,6,0.00013259082471493,0.00107642626480086,0.00145137880986938,1.8,0.025,0.796791443850267,NA
"1",2,1,3,0.000133850890108419,0.00107066381156317,0.00158478605388273,0.3,0.058,0.796791443850267,NA
"7",3,1,4,0.000134661998384056,0.00107066381156317,0.0016366612111293,0.3,0.118,0.796791443850267,NA
"9",2,1,3,0.000133850890108419,0.00107066381156317,0.00158478605388273,0.3,0.058,0.796791443850267,NA
"13",3,1,4,0.000134661998384056,0.00107066381156317,0.0016366612111293,0.3,0.118,0.796791443850267,NA
"14",2,1,3,0.000133850890108419,0.00107066381156317,0.00158478605388273,0.3,0.058,0.796791443850267,NA
"77",10,1,11,0.000134607618791224,0.000974658869395711,0.00176991150442478,6.9,0.093,0.796791443850267,NA
